FORM_NAME,FIELD_ID,SRC_CODE,SRC_CODE_ID,SRC_CD_DESCRIPTION,TARGET_CONCEPT_ID,LOCAL_CONCEPT_ID,TARGET_CONCEPT_NAME,TARGET_DOMAIN_ID,TARGET_VOCABULARY_ID,TARGET_CONCEPT_CLASS_ID,TARGET_CONCEPT_CODE,TARGET_STANDARD_CONCEPT,PREDICATE_ID,CONFIDENCE,MODIFIER,value_as_concept_id,qualifier_concept_id,qualifier_source_value,relationship_id,concept_id_2,temp name,temp domain,vocabulary_id_2,temp class,concept_code_2,temp standard,confidence,predicate_id,Notes
screening_survey,,cmtrt_lfst,,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",2005200004,2005200004,"Do you use lifestyle changes to control your A1C and blood glucose levels? Examples: regular exercise, avoiding sugary foods and beverages, eating a balanced diet with lots of vegetables, sticking to a consistent eating schedule",Observation,AIREADI,Survey,,S,skos:exactMatch,1,,,,,,607008,Able to modify behavior and lifestyle to support health improvement,Observation,SNOMED,Clinical Finding,1148971005,S,0.75,skos:broadMatch,
bcva,,viaomthd,,Method used to complete form,2005200011,2005200011,Method used to complete form,Observation,AIREADI-Vision,Attribute,,S,skos:exactMatch,1,,,,,,4129438,Method,Observation,SNOMED,Attribute,260686004,N,0.75,skos:broadMatch,
bcva,,viaodpsf,,Snellen fraction - Photopic VA - OD,2005200012,2005200012,Snellen fraction - Photopic VA - OD,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,,21491744,Visual acuity best corrected Right eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79880-1,S,0.75,skos:broadMatch,
bcva,,viaospsf,,Snellen fraction - Photopic VA - OS,2005200013,2005200013,Snellen fraction - Photopic VA - OS,Measurement,AIREADI-Vision,Clinical Observation,,S,skos:exactMatch,1,,,,,,21491745,Visual acuity best corrected Left eye by Snellen eye chart,Measurement,LOINC,Clinical Observation,79881-9,S,0.75,skos:broadMatch,
screening_survey,,mhterm_dm1,,Type I Diabetes,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,201254,,201254,Type 1 diabetes mellitus,,,,,,,,,,,
health_survey,,mhoccur_mi,,Heart attack,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,4329847,,4329847,Myocardial infarction,,,,,,,,,,,
health_survey,,mhoccur_cvdot,,"Other heart issues (Examples: pacemaker, heart valve disease, open heart surgery)",2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,2005200627,,2005200627,"Other heart issues (Examples: pacemaker, heart valve disease, open heart surgery)",,,,,,,,,,,
health_survey,,mhoccur_strk,,Stroke,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,2005200628,,2005200628,Stroke,,,,,,,,,,,
health_survey,,mhoccur_clsh,,High blood cholesterol,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,4159131,,4159131,Dyslipidemia,,,,,,,,,,,
health_survey,,mhoccur_hbp,,High blood pressure,2005200014,2005200014,Has a doctor or other healthcare professional ever told you that you have/had...,Observation,AIREADI,Survey,,S,skos:exactMatch,1,316866,,316866,Hypertensive Disorder,,,,,,,,,,,
